47,The Hideaway Seaport,"['22 Peck Slip', 'New York, NY 10038']",7szsAtxOkGJ2ady3Qx7v4w,4.0,103,"{'latitude': 40.7080634, 'longitude': -74.002083}",$$
48,The Jeffrey Craft Beer & Bites,"['311 E 60th St', 'New York, NY 10022']",2_oy2iBeT0Rg-oz4f0GF1A,4.0,687,"{'latitude': 40.7611, 'longitude': -73.963}",$$
49,Wogies Bar & Grill,"['39 Greenwich Ave', 'New York, NY 10014']",L9GlASdPU4rZEc3FWCsE8Q,4.0,327,"{'latitude': 40.73539, 'longitude': -74.00057}",$$
0,Gebhard's Beer Culture,"['228 W 72nd St', 'New York, NY 10023']",zHh6ioC3tSXBFhXXuXrL8A,4.0,136,"{'latitude': 40.778946, 'longitude': -73.983219}",$$
1,Harding's,"['32 E 21st St', 'New York, NY 10010']",fEig4z0y_qCMRLvW7HRuqA,4.0,365,"{'latitude': 40.7393229, 'longitude': -73.9887163}",$$
2,The Tippler,"['425 W 15th St', 'New York, NY 10011']",-egltOQhAdo1kWlPSJfmvA,4.0,674,"{'latitude': 40.7423540864346, 'longitude': -74.0063398693085}",$$
3,The Modern,"['9 W 53rd St', 'New York, NY 10019']",_LJFf9YqpYxvExTvVxb7Rw,4.5,1018,"{'latitude': 40.7610699, 'longitude': -73.97709}",$$$$
4,Nancy Whiskey Pub,"['1 Lispenard St', 'New York, NY 10013']",HQSifWLNBh_LgMqronwAYA,4.0,219,"{'latitude': 40.72063, 'longitude': -74.00499}",$
5,Onderdonk & Sons,"['566 Onderdonk Ave', 'Ridgewood, NY 11385']",1gk8TCOubwKmGJZWxVRmQQ,4.5,72,"{'latitude': 40.70546, 'longitude': -73.90993}",$
6,Tailgate Outdoor Sports Bar,"['86 N 11th St', 'Brooklyn, NY 11249']",IXujdH6UqFrYHUyzMqFrVg,4.0,13,"{'latitude': 40.72139596280044, 'longitude': -73.95763005384187}",
7,Bowlmor Chelsea Piers,"['Chelsea Piers-Pier 60', 'New York, NY 10011']",mBpORUUR_ZB3qbpjDzCjpg,3.0,386,"{'latitude': 40.7470456311976, 'longitude': -74.0090346336365}",
8,Baby Grand,"['161 Lafayette St', 'New York, NY 10013']",XGGPcefzPWq38POAYICLmw,4.0,187,"{'latitude': 40.7197504957621, 'longitude': -73.999181630097}",$$
9,Brooklyn Social,"['335 Smith St', 'Brooklyn, NY 11231']",10i1WmPDuDRqDEpqJDxmYA,4.0,178,"{'latitude': 40.6804466247559, 'longitude': -73.9944458007812}",$$
10,Clara's,"['53 Wilson Ave', 'Brooklyn, NY 11237']",hcxdYdqMiuFVPYza3DEkdQ,4.5,115,"{'latitude': 40.7025937642269, 'longitude': -73.9287076595245}",$$
11,The Dead Poet,"['450 Amsterdam Ave', 'New York, NY 10024']",bkIMbvXOcztDVz8bpyhMzQ,4.0,434,"{'latitude': 40.78499, 'longitude': -73.97735}",$$
12,McQuaid’s Public House,"['589 11th Ave', 'New York, NY 10036']",giJ4S1Px5K9xi4maxWajsw,4.5,47,"{'latitude': 40.76235, 'longitude': -73.9976}",$$
13,Tilila Casa Publica & Cocina,"['3648 Bailey Ave', 'Bronx, NY 10463']",r-9F70oGda2KMUe-SvHVqA,3.5,80,"{'latitude': 40.8834278494702, 'longitude': -73.8984806250956}",$$
14,Tom & Jerry's,"['288 Elizabeth St', 'New York, NY 10012']",iNJDjdm3C9pUTiEcSxOtCA,4.0,256,"{'latitude': 40.724617, 'longitude': -73.993156}",$$
15,Hollow Nickel,"['494 Atlantic Ave', 'Brooklyn, NY 11217']",F-AfJgFrxNbn49Mp4l7aXg,4.0,217,"{'latitude': 40.685512, 'longitude': -73.981986}",$$
16,The Brew Inn,"['924 Manhattan Ave', 'Brooklyn, NY 11222']",w5B0FmQoEOoeURoFuguh0w,4.0,159,"{'latitude': 40.731044, 'longitude': -73.954101}",$$
17,The Brooklyn Brewery,"['79 N 11th St', 'Brooklyn, NY 11211']",oFDKXoHhSBQgDGjADLfQEg,4.0,990,"{'latitude': 40.721636270191, 'longitude': -73.9576329544152}",$$
18,Twins Irish Pub,"['421 9th Ave', 'New York, NY 10001']",j7H5nYjKDb1GQ4zKJRuTlw,3.5,92,"{'latitude': 40.753173, 'longitude': -73.996826}",$$
19,The Bar Room,"['117 E 60th St', 'New York, NY 10022']",MyQV4i518ZO4CLudtR8gLA,4.0,527,"{'latitude': 40.763409, 'longitude': -73.968449}",$$
20,Botanica Bar,"['47 E Houston St', 'Ste B', 'New York, NY 10012']",zvxUXRQOqzsyFiCKS09_JQ,4.0,384,"{'latitude': 40.72459, 'longitude': -73.99478}",$
21,Brooklyn Public House,"['247 Dekalb Ave', 'Brooklyn, NY 11205']",LDwxXfapMw6xNbTF0YDFaQ,3.5,324,"{'latitude': 40.68958, 'longitude': -73.96939}",$$
22,Royale,"['157 Ave C', 'New York, NY 10009']",FCqKzOUM6DAxjU_xkXdhzg,4.0,484,"{'latitude': 40.7258174842573, 'longitude': -73.9778455564146}",$$
23,The Brewery Bar & Kitchen,"['49-18 30th Ave', 'Woodside, NY 11377']",P-XnPhzdGbgbMYIcS0cpTA,4.5,123,"{'latitude': 40.760256, 'longitude': -73.907328}",$$
24,The Polo Bar,"['1 E 55th St', 'New York, NY 10022']",EaAAP-gDALDL7GxcseMjBQ,4.0,423,"{'latitude': 40.761559099, 'longitude': -73.9743427135}",$$$
25,Triona's On Third,"['192 3rd Ave', 'New York, NY 10003']",e4FbDBoHWCOvDoHkrXzPsA,4.0,97,"{'latitude': 40.7355003356934, 'longitude': -73.9857711791992}",$$
26,The Wing Bar,"['275 Smith St', 'Brooklyn, NY 11231']",UOhnGQBzf2ISTHM4Bj5Gvw,3.5,349,"{'latitude': 40.6825199, 'longitude': -73.99318}",$$
27,Bearded Lady,"['686A Washington Ave', 'Brooklyn, NY 11238']",Y8tBHpOHWF4iOk_6m-vW2A,4.0,195,"{'latitude': 40.6774605398157, 'longitude': -73.963885845718}",$$
28,McSwiggan's Bar,"['393 2nd Ave', 'New York, NY 10010']",9497jc-1T1nTuoN1v0McsA,3.5,84,"{'latitude': 40.73773, 'longitude': -73.98125}",$
29,Bar 718,"['718 5th Ave', 'Brooklyn, NY 11232']",jW7oRgG61dCqBsRNWoS7UA,4.5,52,"{'latitude': 40.6605, 'longitude': -73.99451}",$
30,One Star,"['147 W 24th St', 'New York, NY 10011']",QKiVXF-Y1IK_NkRfvtY4sQ,4.0,153,"{'latitude': 40.7445145622588, 'longitude': -73.9940418298492}",$
31,Henry Public,"['329 Henry St', 'Brooklyn, NY 11201']",W2sR69xVLzMI_CXJXk-PZg,3.5,285,"{'latitude': 40.690242, 'longitude': -73.996172}",$$
32,Two 8 Two Bar & Burger,"['282 Atlantic Ave', 'Brooklyn, NY 11201']",xiEBdZ8z5KY21Vw2pY2fJQ,4.0,673,"{'latitude': 40.688536, 'longitude': -73.989728}",$$
33,Lavender Lake,"['383 Carroll St', 'Brooklyn, NY 11231']",28q-EaDlKgYNeaF7-LXXqg,3.5,276,"{'latitude': 40.6786075, 'longitude': -73.9901923}",$$
34,Apotheke,"['9 Doyers St', 'New York, NY 10013']",P3NfoMjBy_o2BTNNZ-5okg,4.0,1451,"{'latitude': 40.71434, 'longitude': -73.99822}",$$$
35,Bronx Alehouse,"['216 W 238th St', 'Bronx, NY 10463']",ciHt5n5rmpby1YcC_6JVrg,4.0,822,"{'latitude': 40.8847016520226, 'longitude': -73.8994980779851}",$$
36,Death & Co,"['433 E 6th St', 'New York, NY 10009']",H1QphdrrsaB472y9HXi2Ow,4.0,1519,"{'latitude': 40.72589, 'longitude': -73.9847}",$$$
37,Park Avenue Tavern,"['99 Park Ave', 'New York, NY 10016']",LHxZgTddXIp_S1sL3nNG9w,4.0,794,"{'latitude': 40.75031, 'longitude': -73.9783999}",$$
